접수연도,자치구명,물건금액(만원),건물면적(㎡),건물용도,평당가격(만원)
2021,마포구,71000,49.97,아파트,1420.852512
2021,구로구,10400,15.11,아파트,688.2859034
2021,구로구,20500,41.4,아파트,495.1690821
2021,종로구,190500,77.97,아파트,2443.247403
2021,구로구,22500,33.52,아파트,671.2410501
2021,구로구,24500,37.47,아파트,653.8564185
2021,구로구,25000,44.61,아파트,560.4124636
2021,구로구,12700,14.58,아파트,871.0562414
2021,구로구,63000,84.91,아파트,741.9620775
2021,강남구,362500,89.36,아파트,4056.624888
2021,강남구,700000,195.39,아파트,3582.578433
2021,마포구,124500,84.95,아파트,1465.567981
2021,구로구,52000,58.22,아파트,893.1638612
2021,강북구,9000,12.33,아파트,729.9270073
2021,구로구,23900,36.69,아파트,651.4036522
2021,구로구,9000,14.29,아파트,629.8110567
2021,구로구,27000,37.76,아파트,715.0423729
2021,구로구,11000,13.23,아파트,831.4436886
2021,강남구,240000,84.64,아파트,2835.538752
2021,마포구,69800,84.95,아파트,821.6597999
2021,구로구,21000,39.36,아파트,533.5365854
2021,구로구,12000,14.58,아파트,823.0452675
2021,강북구,63000,98.22,아파트,641.4172266
2021,마포구,127000,68.22,아파트,1861.624157
2021,강북구,28500,37.44,아파트,761.2179487
2021,구로구,60000,84.71,아파트,708.2989021
2021,구로구,22200,36.48,아파트,608.5526316
2021,마포구,173000,84.85,아파트,2038.892163
2021,구로구,96000,59.9,아파트,1602.671119
2021,구로구,75500,59.86,아파트,1261.276311
2021,강남구,602000,160.28,아파트,3755.927128
2021,강남구,205000,59.4,아파트,3451.178451
2021,마포구,25000,32.34,아파트,773.0364873
2021,마포구,165500,84.82,아파트,1951.190757
2021,구로구,22000,21.49,아파트,1023.731968
2021,강남구,34800,36.16,아파트,962.3893805
2021,마포구,45000,36.49,아파트,1233.214579
2021,구로구,110500,60,아파트,1841.666667
2021,마포구,120000,68.94,아파트,1740.644038
2021,강남구,405000,94.49,아파트,4286.167848
2021,구로구,99700,59.9,아파트,1664.440735
2021,구로구,12000,14.58,아파트,823.0452675
2021,마포구,138000,59.87,아파트,2304.994154
2021,마포구,133000,84.94,아파트,1565.811161
2021,강북구,45500,71.78,아파트,633.881304
2021,구로구,18000,39.36,아파트,457.3170732
2021,종로구,138000,59.67,아파트,2312.71996
2021,구로구,63700,73.2,아파트,870.2185792
2021,마포구,90000,58.71,아파트,1532.95861
2021,구로구,49000,59.96,아파트,817.2114743
2021,구로구,11200,14.58,아파트,768.175583
2021,구로구,29000,59.88,아파트,484.3019372
2021,강남구,18300,14.78,아파트,1238.159675
2021,마포구,84000,49.02,아파트,1713.586291
2021,구로구,18000,20.84,아파트,863.7236084
2021,구로구,102000,78.67,아파트,1296.555231
2021,구로구,49900,59.96,아파트,832.221481
2021,마포구,81000,84.96,아파트,953.3898305
2021,구로구,65000,59.73,아파트,1088.23037
2021,강남구,150000,39.53,아파트,3794.58639
2021,구로구,12000,20.55,아파트,583.9416058
2021,구로구,12000,20.55,아파트,583.9416058
2021,강남구,207000,84.96,아파트,2436.440678
2021,마포구,128500,59.96,아파트,2143.095397
2021,마포구,130000,84.74,아파트,1534.104319
2021,강남구,355000,177.19,아파트,2003.499069
2021,종로구,11000,15.86,아파트,693.5687264
2021,마포구,170000,114.48,아파트,1484.975542
2021,강남구,420000,127.78,아파트,3286.899358
2021,구로구,69800,59.34,아파트,1176.272329
2021,강남구,23000,16.2,아파트,1419.753086
2021,강남구,60000,64.23,아파트,934.1429239
2021,강남구,198000,114.97,아파트,1722.188397
2021,강남구,318500,84.81,아파트,3755.453366
2021,구로구,11450,14.91,아파트,767.9409792
2021,마포구,73000,59.95,아파트,1217.681401
2021,마포구,25800,32.8,아파트,786.5853659
2021,강남구,180000,84.48,아파트,2130.681818
2021,마포구,105000,84.9,아파트,1236.749117
2021,종로구,135000,236.07,아파트,571.8642775
2021,종로구,13000,17.81,아파트,729.9270073
2021,구로구,98000,84.98,아파트,1153.212521
2021,마포구,215000,119.99,아파트,1791.815985
2021,강남구,330000,91.89,아파트,3591.250408
2021,마포구,107000,59.85,아파트,1787.80284
2021,구로구,45000,53.94,아파트,834.2602892
2021,구로구,69000,84.06,아파트,820.8422555
2021,강남구,130000,39.51,아파트,3290.306252
2021,구로구,109000,84.88,아파트,1284.165881
2021,종로구,74000,84.9,아파트,871.6136631
2021,강남구,335000,171.94,아파트,1948.354077
2021,강남구,150000,59.73,아파트,2511.300854
2021,강남구,210000,84.87,아파트,2474.37257
2021,마포구,199000,84.98,아파트,2341.727465
2021,마포구,132000,84.89,아파트,1554.953469
2021,강북구,59800,73.3,아파트,815.8253752
2021,강남구,58500,51.08,아파트,1145.262334
2021,구로구,86000,59.57,아파트,1443.679705
2021,마포구,131000,59.52,아파트,2200.94086
2021,강남구,249000,70.83,아파트,3515.459551
2021,강남구,197000,59.97,아파트,3284.975821
2021,구로구,66000,56.49,아파트,1168.34838
2021,구로구,12000,14.86,아파트,807.5370121
2021,강남구,215000,79.97,아파트,2688.508191
2021,마포구,97500,59.48,아파트,1639.206456
2021,강남구,450000,175.92,아파트,2557.9809
2021,마포구,133500,79.83,아파트,1672.303645
2021,마포구,180000,84.97,아파트,2118.394728
2021,마포구,197500,122.87,아파트,1607.389924
2021,구로구,139000,84.93,아파트,1636.64194
2021,강북구,65000,84.67,아파트,767.6863116
2021,구로구,24300,49.2,아파트,493.902439
2021,구로구,94500,59.9,아파트,1577.629382
